epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,76.7383,1.78081,3.17997,2.4655,0.00536,1.15443,0.33194,0.23028,0.20434,0.10532,0.31623,0.17666,0.14611,0.04197,2.07644,3.72609,2.34633,0.0061,0,0.0018218,0.0018218,0.0018218
29,79.3998,1.94624,3.0263,2.39379,0.00512,1.2272,0.33194,0.23028,0.20434,0.10532,0.31623,0.17666,0.14611,0.04197,2.07644,3.72609,2.34633,0.0061,0,0.0018152,0.0018152,0.0018152
30,82.0701,1.74002,2.70987,2.17881,0.00489,1.28156,0.37366,0.30915,0.29293,0.15136,0.35835,0.28707,0.25266,0.09786,1.97268,2.82715,2.17528,0.00573,0,0.0018086,0.0018086,0.0018086
31,84.8418,2.11328,2.86872,2.36866,0.00517,1.28418,0.37366,0.30915,0.29293,0.15136,0.35835,0.28707,0.25266,0.09786,1.97268,2.82715,2.17528,0.00573,0,0.001802,0.001802,0.001802
32,87.4841,1.98947,2.46473,2.50248,0.00573,1.06066,0.37366,0.30915,0.29293,0.15136,0.35835,0.28707,0.25266,0.09786,1.97268,2.82715,2.17528,0.00573,0,0.0017954,0.0017954,0.0017954
33,90.4772,1.85222,2.39718,2.47546,0.00482,1.26841,0.37366,0.30915,0.29293,0.15136,0.35835,0.28707,0.25266,0.09786,1.97268,2.82715,2.17528,0.00573,0,0.0017888,0.0017888,0.0017888
34,93.3342,1.83699,2.5078,2.4606,0.00491,1.01246,0.36694,0.35962,0.31968,0.16497,0.3613,0.32177,0.29314,0.11806,1.93417,2.5639,2.22526,0.00545,0,0.0017822,0.0017822,0.0017822
35,95.7845,1.97661,2.75437,2.32206,0.00476,1.00127,0.36694,0.35962,0.31968,0.16497,0.3613,0.32177,0.29314,0.11806,1.93417,2.5639,2.22526,0.00545,0,0.0017756,0.0017756,0.0017756
36,98.6716,2.0799,2.9618,2.20635,0.00436,1.16322,0.36694,0.35962,0.31968,0.16497,0.3613,0.32177,0.29314,0.11806,1.93417,2.5639,2.22526,0.00545,0,0.001769,0.001769,0.001769
37,101.548,1.62662,2.36653,2.10725,0.00449,1.05606,0.36694,0.35962,0.31968,0.16497,0.3613,0.32177,0.29314,0.11806,1.93417,2.5639,2.22526,0.00545,0,0.0017624,0.0017624,0.0017624
38,104.255,1.63303,2.18945,2.38871,0.00498,0.98825,0.35112,0.35647,0.32402,0.16988,0.32709,0.30599,0.26919,0.09628,1.9502,2.57935,2.05344,0.00538,0,0.0017558,0.0017558,0.0017558
39,106.885,1.68968,2.31778,2.62971,0.00581,0.91436,0.35112,0.35647,0.32402,0.16988,0.32709,0.30599,0.26919,0.09628,1.9502,2.57935,2.05344,0.00538,0,0.0017492,0.0017492,0.0017492
40,109.296,1.6721,2.03533,2.15659,0.00493,0.92477,0.35112,0.35647,0.32402,0.16988,0.32709,0.30599,0.26919,0.09628,1.9502,2.57935,2.05344,0.00538,0,0.0017426,0.0017426,0.0017426
41,111.841,1.65726,2.28811,2.50535,0.00646,1.09355,0.35112,0.35647,0.32402,0.16988,0.32709,0.30599,0.26919,0.09628,1.9502,2.57935,2.05344,0.00538,0,0.001736,0.001736,0.001736
42,114.581,1.76344,2.38272,2.35649,0.0051,0.96696,0.3768,0.35476,0.33376,0.16502,0.33517,0.347,0.27785,0.10439,1.87024,2.45506,2.00701,0.00511,0,0.0017294,0.0017294,0.0017294
43,117.25,1.93714,2.62368,2.26573,0.00471,0.9401,0.3768,0.35476,0.33376,0.16502,0.33517,0.347,0.27785,0.10439,1.87024,2.45506,2.00701,0.00511,0,0.0017228,0.0017228,0.0017228
44,119.914,1.68036,2.2945,2.20801,0.00521,0.9584,0.3768,0.35476,0.33376,0.16502,0.33517,0.347,0.27785,0.10439,1.87024,2.45506,2.00701,0.00511,0,0.0017162,0.0017162,0.0017162
45,122.692,1.70746,2.42183,2.11867,0.00472,1.02928,0.3768,0.35476,0.33376,0.16502,0.33517,0.347,0.27785,0.10439,1.87024,2.45506,2.00701,0.00511,0,0.0017096,0.0017096,0.0017096
46,125.351,1.66101,2.2528,2.36594,0.00523,0.93668,0.39686,0.33627,0.33546,0.16988,0.37338,0.34069,0.30077,0.11686,1.8364,2.26982,1.99925,0.00506,0,0.001703,0.001703,0.001703
47,128.101,1.59395,2.05969,2.05153,0.00438,0.89774,0.39686,0.33627,0.33546,0.16988,0.37338,0.34069,0.30077,0.11686,1.8364,2.26982,1.99925,0.00506,0,0.0016964,0.0016964,0.0016964
48,130.669,1.70466,2.26934,2.37405,0.00558,0.88265,0.39686,0.33627,0.33546,0.16988,0.37338,0.34069,0.30077,0.11686,1.8364,2.26982,1.99925,0.00506,0,0.0016898,0.0016898,0.0016898
49,133.501,1.76284,2.35572,2.10603,0.00398,0.92111,0.39686,0.33627,0.33546,0.16988,0.37338,0.34069,0.30077,0.11686,1.8364,2.26982,1.99925,0.00506,0,0.0016832,0.0016832,0.0016832
50,136.346,1.77084,2.10757,2.30691,0.00436,0.92237,0.40346,0.35962,0.34013,0.16245,0.36198,0.30915,0.30365,0.10817,1.85707,2.20187,1.96467,0.00478,0,0.0016766,0.0016766,0.0016766
51,138.752,1.51547,2.04553,2.33197,0.00557,0.76889,0.40346,0.35962,0.34013,0.16245,0.36198,0.30915,0.30365,0.10817,1.85707,2.20187,1.96467,0.00478,0,0.00167,0.00167,0.00167
