epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.61013,2.8798,4.68787,3.77666,0.01015,5.46248,0.00733,0.0347,0.00484,0.00164,0.00133,0.00631,0.00067,0.00013,2.41028,4.38398,3.46556,0.00778,0,0,0,0
2,7.61062,2.634,4.28257,3.7528,0.01004,5.4307,0.006,0.02839,0.00323,0.00142,0.00133,0.00631,0.00067,0.0002,2.40091,4.35515,3.46693,0.00777,0,1.9802e-05,1.9802e-05,1.9802e-05
3,12.4362,2.80004,4.43491,3.74946,0.0092,5.66217,0.00667,0.03155,0.00355,0.00149,0.002,0.00946,0.00101,0.0003,2.39469,4.33235,3.46039,0.00781,0,3.9208e-05,3.9208e-05,3.9208e-05
4,14.796,2.57863,4.03842,3.78375,0.00896,5.36572,0.00667,0.03155,0.00356,0.0016,0.00267,0.01262,0.00135,0.00034,2.36635,4.28646,3.46058,0.00769,0,5.8218e-05,5.8218e-05,5.8218e-05
5,18.904,2.72025,4.55966,3.68864,0.00808,5.63332,0.00733,0.0347,0.00399,0.00158,0.002,0.00946,0.00101,0.00034,2.36109,4.25927,3.45723,0.00773,0,7.6832e-05,7.6832e-05,7.6832e-05
6,21.8488,2.57614,4.43402,3.7206,0.00896,5.43006,0.00667,0.03155,0.0037,0.00154,0.00267,0.01262,0.00137,0.00044,2.36062,4.22367,3.45125,0.00769,0,9.505e-05,9.505e-05,9.505e-05
7,24.5504,2.67326,4.32041,3.74373,0.01034,5.38905,0.00667,0.03155,0.00368,0.00161,0.00267,0.01262,0.00137,0.00044,2.35326,4.20664,3.4498,0.00778,0,0.000112872,0.000112872,0.000112872
8,26.4933,2.64303,4.72075,3.79478,0.01115,5.32174,0.00667,0.03155,0.00379,0.00156,0.00267,0.01262,0.00136,0.00041,2.3656,4.1906,3.44743,0.0079,0,0.000130298,0.000130298,0.000130298
9,29.7918,2.6515,4.78378,3.72513,0.00949,5.61949,0.008,0.03785,0.0047,0.00218,0.00267,0.01262,0.00138,0.00062,2.2714,3.80076,3.41065,0.00716,0,0.000147328,0.000147328,0.000147328
10,33.5124,2.44624,4.22035,3.71201,0.00925,5.02682,0.00733,0.0347,0.00406,0.00221,0.004,0.01893,0.00205,0.00079,2.26863,3.77465,3.40913,0.00716,0,0.000163962,0.000163962,0.000163962
11,36.1461,2.66091,4.07053,3.74414,0.0091,5.10755,0.00867,0.04101,0.00502,0.00274,0.00733,0.0347,0.00381,0.00144,2.2098,3.59135,3.39075,0.00665,0,0.0001802,0.0001802,0.0001802
12,40.5354,2.53781,3.63977,3.67632,0.00705,4.70389,0.01267,0.05994,0.00751,0.00338,0.00867,0.04101,0.0048,0.00173,2.16801,3.50347,3.38043,0.00637,0,0.000196042,0.000196042,0.000196042
13,43.2288,2.28342,3.54254,3.57067,0.00733,4.46654,0.01467,0.0694,0.01036,0.005,0.01333,0.06309,0.00838,0.00285,2.1295,3.45146,3.36109,0.00625,0,0.000211488,0.000211488,0.000211488
14,48.0966,2.35167,3.38665,3.54972,0.00565,4.12561,0.02,0.09464,0.01394,0.006,0.01667,0.07886,0.01209,0.00398,2.15174,3.32884,3.34912,0.00634,0,0.000226538,0.000226538,0.000226538
15,50.8051,2.14516,3.38447,3.50318,0.00647,3.67557,0.022,0.1041,0.02199,0.00905,0.01933,0.09148,0.02051,0.00648,2.15405,3.21796,3.33876,0.0065,0,0.000241192,0.000241192,0.000241192
16,54.631,2.22934,3.26686,3.43439,0.00647,3.45872,0.02333,0.11041,0.02615,0.0104,0.01933,0.09148,0.02144,0.00725,2.13778,3.1175,3.32422,0.00633,0,0.00025545,0.00025545,0.00025545
17,57.3233,2.02876,3.12203,3.43399,0.0064,3.27135,0.024,0.11356,0.02729,0.01062,0.01933,0.09148,0.02012,0.00695,2.1238,3.08004,3.31921,0.00637,0,0.000269312,0.000269312,0.000269312
