epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.06371,2.86158,4.63595,3.76277,0.00982,5.44546,0.00667,0.03155,0.00394,0.00142,0.00133,0.00631,0.00067,0.0002,2.40762,4.36836,3.46729,0.00782,0,2e-05,2e-05,2e-05
2,5.10759,2.50824,4.32764,3.81957,0.01141,5.32271,0.00667,0.03155,0.00362,0.00158,0.002,0.00946,0.00101,0.00034,2.38553,4.30001,3.46201,0.00783,0,5.9802e-05,5.9802e-05,5.9802e-05
3,7.39813,2.79428,4.44721,3.75781,0.00941,5.56261,0.00733,0.0347,0.0041,0.00154,0.002,0.00946,0.00101,0.00034,2.37585,4.23042,3.45392,0.00779,0,9.934e-05,9.934e-05,9.934e-05
4,9.33856,2.57,4.00507,3.80261,0.00928,5.29725,0.00667,0.03155,0.00368,0.00161,0.00267,0.01262,0.00136,0.00041,2.36008,4.18873,3.45249,0.00788,0,0.000138614,0.000138614,0.000138614
5,11.5802,2.77235,4.44876,3.6821,0.00833,5.52318,0.006,0.02839,0.00514,0.00194,0.00267,0.01262,0.00138,0.00044,2.28678,3.8024,3.43169,0.0072,0,0.000177624,0.000177624,0.000177624
6,13.7692,2.55204,4.0847,3.67433,0.00852,4.89655,0.00933,0.04416,0.00677,0.00224,0.00467,0.02208,0.0024,0.00099,2.19436,3.49425,3.41011,0.00673,0,0.00021637,0.00021637,0.00021637
7,15.9371,2.39571,3.69426,3.6147,0.00873,4.71088,0.00867,0.04101,0.00483,0.0021,0.006,0.02839,0.00311,0.0012,2.14547,3.40616,3.40685,0.00654,0,0.000254852,0.000254852,0.000254852
8,18.0018,2.23436,3.63909,3.55366,0.00788,4.18452,0.00867,0.04101,0.00476,0.00229,0.00733,0.0347,0.00386,0.0016,2.12259,3.36092,3.4075,0.00628,0,0.00029307,0.00029307,0.00029307
9,20.2473,2.28689,3.77636,3.47142,0.00669,3.78194,0.01333,0.06309,0.01133,0.00402,0.01333,0.06309,0.01341,0.00427,2.11212,3.33992,3.39587,0.00621,0,0.000331024,0.000331024,0.000331024
10,22.3896,2.14408,3.30768,3.42945,0.00612,3.55835,0.01667,0.07886,0.0152,0.00577,0.01533,0.07256,0.02011,0.00517,2.09918,3.3409,3.37935,0.00605,0,0.000368714,0.000368714,0.000368714
11,24.506,2.04505,2.99752,3.40293,0.00601,3.25948,0.01667,0.07886,0.02027,0.0068,0.016,0.07571,0.02381,0.00614,2.07293,3.28821,3.36849,0.00584,0,0.00040614,0.00040614,0.00040614
12,26.8012,2.06885,2.87601,3.34168,0.00487,3.07624,0.01667,0.07886,0.02027,0.0068,0.016,0.07571,0.02381,0.00614,2.07293,3.28821,3.36849,0.00584,0,0.000443302,0.000443302,0.000443302
13,28.9232,1.85651,2.94002,3.28929,0.00631,2.90242,0.01867,0.08833,0.02209,0.00743,0.018,0.08517,0.02599,0.00618,2.1119,3.282,3.35427,0.00617,0,0.0004802,0.0004802,0.0004802
14,31.3363,2.10353,2.78147,3.2774,0.00444,2.77625,0.02267,0.10726,0.02112,0.00736,0.01933,0.09148,0.01994,0.00583,2.11386,3.22656,3.32137,0.00629,0,0.000516834,0.000516834,0.000516834
15,33.3558,1.78166,2.70437,3.1375,0.00576,2.4869,0.02267,0.10726,0.02112,0.00736,0.01933,0.09148,0.01994,0.00583,2.11386,3.22656,3.32137,0.00629,0,0.000553204,0.000553204,0.000553204
16,35.5683,2.00005,2.88432,3.09161,0.00568,2.40212,0.02333,0.11041,0.02671,0.00895,0.02,0.09464,0.0198,0.0062,2.14018,3.09906,3.26679,0.00628,0,0.00058931,0.00058931,0.00058931
