epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94035,2.71271,4.40823,4.47982,0.0121,5.4017,0.00467,0.02208,0.00264,0.00108,0.00067,0.00315,0.00034,0.00013,1.66224,3.40248,3.77024,0.01043,0,0.00014,0.00014,0.00014
2,6.77891,2.28421,3.98944,4.78485,0.01605,5.42639,0.00533,0.02524,0.00282,0.00114,0.00067,0.00315,0.00034,0.0001,1.6858,3.45255,3.72493,0.00848,0,0.00029901,0.00029901,0.00029901
3,10.3954,2.46186,3.98186,4.23494,0.01029,5.5274,0.00667,0.03155,0.00377,0.00147,0.00267,0.01262,0.00136,0.00044,1.65445,3.22135,3.66648,0.00872,0,0.000456964,0.000456964,0.000456964
4,13.474,2.32725,4.01476,4.33689,0.01049,5.372,0.00733,0.0347,0.0041,0.00148,0.00267,0.01262,0.00139,0.00041,1.75684,3.35828,3.67807,0.00975,0,0.000613862,0.000613862,0.000613862
5,17.1879,2.414,3.92864,3.69863,0.00622,5.2491,0.026,0.12303,0.0176,0.0075,0.01933,0.09148,0.01083,0.00354,1.59964,2.87622,3.5629,0.00935,0,0.000769704,0.000769704,0.000769704
6,20.5414,1.96662,3.20121,3.90719,0.0075,4.91561,0.026,0.12303,0.0176,0.0075,0.01933,0.09148,0.01083,0.00354,1.59964,2.87622,3.5629,0.00935,0,0.00092449,0.00092449,0.00092449
7,24.0638,1.99195,3.42333,3.67937,0.00738,4.96447,0.01667,0.07886,0.02121,0.00772,0.01733,0.08202,0.01574,0.00419,1.79805,3.01435,3.75413,0.01325,0,0.00107822,0.00107822,0.00107822
8,27.2633,1.74384,3.19975,3.93044,0.00779,4.57487,0.01667,0.07886,0.02121,0.00772,0.01733,0.08202,0.01574,0.00419,1.79805,3.01435,3.75413,0.01325,0,0.00123089,0.00123089,0.00123089
9,30.8515,2.09611,3.7763,3.65572,0.00611,4.5465,0.01667,0.07886,0.02121,0.00772,0.01733,0.08202,0.01574,0.00419,1.79805,3.01435,3.75413,0.01325,0,0.00138251,0.00138251,0.00138251
10,34.3116,1.77134,3.37214,4.24007,0.00935,4.46909,0.01733,0.08202,0.01426,0.00429,0.01267,0.05994,0.01026,0.00238,1.99552,3.11301,3.80358,0.01047,0,0.00153307,0.00153307,0.00153307
11,37.7171,1.86886,4.55379,3.80943,0.00964,2.69047,0.01733,0.08202,0.01426,0.00429,0.01267,0.05994,0.01026,0.00238,1.99552,3.11301,3.80358,0.01047,0,0.00168258,0.00168258,0.00168258
12,41.4619,1.83962,4.26362,3.50936,0.00561,2.80325,0.01733,0.08202,0.01426,0.00429,0.01267,0.05994,0.01026,0.00238,1.99552,3.11301,3.80358,0.01047,0,0.00183103,0.00183103,0.00183103
13,44.6126,1.77641,4.86603,3.56175,0.00723,2.75089,0.01733,0.08202,0.01426,0.00429,0.01267,0.05994,0.01026,0.00238,1.99552,3.11301,3.80358,0.01047,0,0.0019208,0.0019208,0.0019208
14,48.481,2.01577,4.22223,3.41806,0.00567,2.71005,0.01,0.04732,0.009,0.0042,0.01133,0.05363,0.01297,0.00416,1.93513,3.31633,3.58992,0.0135,0,0.0019142,0.0019142,0.0019142
15,51.7278,1.7537,2.69944,3.69947,0.00795,2.10058,0.01,0.04732,0.009,0.0042,0.01133,0.05363,0.01297,0.00416,1.93513,3.31633,3.58992,0.0135,0,0.0019076,0.0019076,0.0019076
16,55.1962,1.82651,2.95191,3.57156,0.00752,2.17732,0.01,0.04732,0.009,0.0042,0.01133,0.05363,0.01297,0.00416,1.93513,3.31633,3.58992,0.0135,0,0.001901,0.001901,0.001901
17,58.4573,1.71589,2.80369,3.62551,0.00874,2.06612,0.01,0.04732,0.009,0.0042,0.01133,0.05363,0.01297,0.00416,1.93513,3.31633,3.58992,0.0135,0,0.0018944,0.0018944,0.0018944
18,62.2706,1.93176,2.85672,3.28012,0.00535,2.39056,0.046,0.21767,0.06432,0.02996,0.04467,0.21136,0.0681,0.02284,1.7123,3.00381,3.35783,0.01211,0,0.0018878,0.0018878,0.0018878
19,65.886,1.72166,2.82173,3.16529,0.00545,1.64329,0.046,0.21767,0.06432,0.02996,0.04467,0.21136,0.0681,0.02284,1.7123,3.00381,3.35783,0.01211,0,0.0018812,0.0018812,0.0018812
20,69.3616,1.53135,2.62044,3.25199,0.00644,1.68746,0.046,0.21767,0.06432,0.02996,0.04467,0.21136,0.0681,0.02284,1.7123,3.00381,3.35783,0.01211,0,0.0018746,0.0018746,0.0018746
21,73.2909,1.72611,2.92765,2.97925,0.00437,1.70039,0.046,0.21767,0.06432,0.02996,0.04467,0.21136,0.0681,0.02284,1.7123,3.00381,3.35783,0.01211,0,0.001868,0.001868,0.001868
22,76.9014,1.82829,2.88492,3.07648,0.00513,1.74555,0.28544,0.25552,0.21207,0.09057,0.38557,0.14196,0.19236,0.07569,1.78818,2.87713,3.04185,0.01227,0,0.0018614,0.0018614,0.0018614
23,80.1817,1.66518,2.56739,3.03999,0.00624,1.37773,0.28544,0.25552,0.21207,0.09057,0.38557,0.14196,0.19236,0.07569,1.78818,2.87713,3.04185,0.01227,0,0.0018548,0.0018548,0.0018548
24,84.0757,1.80903,2.55519,2.64037,0.00427,1.53716,0.28544,0.25552,0.21207,0.09057,0.38557,0.14196,0.19236,0.07569,1.78818,2.87713,3.04185,0.01227,0,0.0018482,0.0018482,0.0018482
25,87.2661,1.91888,3.42749,3.09565,0.00593,1.53118,0.28544,0.25552,0.21207,0.09057,0.38557,0.14196,0.19236,0.07569,1.78818,2.87713,3.04185,0.01227,0,0.0018416,0.0018416,0.0018416
26,91.5106,1.85419,2.91355,3.1146,0.00568,1.50063,0.3334,0.24921,0.23524,0.1131,0.31582,0.23344,0.20257,0.08066,1.7013,2.4836,3.55082,0.01075,0,0.001835,0.001835,0.001835
27,94.9581,1.67314,2.43668,2.83158,0.00549,1.35186,0.3334,0.24921,0.23524,0.1131,0.31582,0.23344,0.20257,0.08066,1.7013,2.4836,3.55082,0.01075,0,0.0018284,0.0018284,0.0018284
28,98.5036,1.5095,2.27865,2.80831,0.00574,1.10683,0.3334,0.24921,0.23524,0.1131,0.31582,0.23344,0.20257,0.08066,1.7013,2.4836,3.55082,0.01075,0,0.0018218,0.0018218,0.0018218
29,102.044,1.79424,2.36486,2.64799,0.00525,1.25629,0.3334,0.24921,0.23524,0.1131,0.31582,0.23344,0.20257,0.08066,1.7013,2.4836,3.55082,0.01075,0,0.0018152,0.0018152,0.0018152
30,105.565,1.62806,2.34654,2.94202,0.00555,1.5395,0.34261,0.27129,0.26557,0.12304,0.43304,0.21767,0.25298,0.10244,1.52547,2.37256,3.651,0.00969,0,0.0018086,0.0018086,0.0018086
31,109.051,1.96722,3.21173,2.61009,0.00528,1.279,0.34261,0.27129,0.26557,0.12304,0.43304,0.21767,0.25298,0.10244,1.52547,2.37256,3.651,0.00969,0,0.001802,0.001802,0.001802
32,112.459,1.73203,2.56603,3.4475,0.00656,1.00217,0.34261,0.27129,0.26557,0.12304,0.43304,0.21767,0.25298,0.10244,1.52547,2.37256,3.651,0.00969,0,0.0017954,0.0017954,0.0017954
33,116.375,1.66424,2.33902,2.59189,0.00473,1.18411,0.34261,0.27129,0.26557,0.12304,0.43304,0.21767,0.25298,0.10244,1.52547,2.37256,3.651,0.00969,0,0.0017888,0.0017888,0.0017888
